All,すべて
Allow Dynamic Resolution,ダイナミック解像度
Allow HDR,高度なレンダリング機能（HDR）
Allow MSAA (Forward Only),MSAA（フォワードレンダリング）
Ambient Occlusion,アンビエントオクルージョン
Ambient Only,アンビエントのみ
Amplify Ambient Occlusion,Amplifyアンビエントオクルージョン
anamorphicratio,アナモルフィック比
Anisotropic Textures,異方性テクスチャ
Anti-aliasing,アンチエイリアス
aperture,絞り値
Auto Exposure,自動露出
auto focus,オートフォーカス
Background,背景
Baked,ベイク
bias,バイアス
Blend Distance,ブレンド距離
Bloom,ブルーム
Blue,青
Bounces,バウンス
Box Offset,オフセット
Box Projection,ボックスプロジェクション
Box Size,サイズ
brightness,輝度
Cam Light,カメラライト
Camera,カメラ
ChineseSimplified,中国語
Chromatic Aberration,色収差
clamp,クランプ
Clear Flags,フラグをクリア
Clipping Planes - Far,クリッピングプレーン-遠
Clipping Planes - Near,クリッピングプレーン-近
Color Grading,カラーグレーディング
colored,色付き
Colour,色
Colour Grading,カラーグレーディング
Colour Space,色空間
contrast,コントラスト
Cubemap capture settings,キューブマップキャプチャ設定
culling mask,カリングマスク
custom,カスタム
depth,深度
Depth of Field,被写界深度
diffusion,拡散
Directional Light,ディレクショナルライト
Directional Lights,ディレクショナルライト
dirt intensity,汚れの強度
disable,無効にする
distance fade,距離フェード
Dithering,ディザリング
Enable,可能にする
English,英語
Environment Lighting,環境ライティング
Environment Reflections,環境反射
Environment Skybox,環境スカイボックス
Exposure,露出
Eye Adaptation,アイアダプテーション
far clipping plane,クリッピング平面ー遠
Fast Mode,高速モード
field of view,視野
fixed,不動
Flat,フラット
focal distance,焦点遠近
focal length,焦点距離
Fog,フォグ
Font Size,フォントサイズ
ForceEnable,強制的に有効にする
FromQualitySettings,品質設定から
gain,ゲイン
gamma,ガンマ
Grain,グレイン
Green,緑
hard only,ハード
HDR,高度なレンダリング機能 (HDR)
high,高
higher,より高い
histogram filtering (%),ヒストグラムフィルタリング(%)
horizontal rotation,水平回転
Hue Shift,色彩シフト
Importance,重要性
Indirect Multiplier,間接乗数
Intensity,強度
Japanese,日本語
Jitter Spread,ジッタの間隔
Korean,韓国語
Language,言語
large,大
LDR,低ダイナミックレンジ (LDR)
lens dirt,レンズ汚れ
lift,リフト
Lighting,ライティング
Lights,ライト
Lights Use Color Temperature,光色温度
Lights Use Linear Intensity,光線形強度
low,低
lower,より低い
lower bound,下限
luminance contribution,輝度寄与
LUT,ルックアップテーブル（LUT）
LUT Blend,LUTブレンド
max blur size,最大ぼかしサイズ
Max Luminance (EV),最大輝度（EV）
maximum march distance,最大行進距離
medium,中
Min Luminance (EV),最小輝度（EV）
mode,モード
Motion Blending,ブレンド移動係数
Motion Blur,モーションブラー
MSAA Multiplier,MSAA乗数
near clipping plane,クリッピング平面ー近
near plane,近く平面
No custom cubemaps found,カスタムキューブマップが見つかりません。
No presets found,プリセットが見つかりません。
None,無し
normal bias,通常のバイアス
nothing,何もない
occlusion culling,閉塞カリング
overkill,やり過ぎ
Pixel Light Count,ピクセルライト数
Please specify a valid file name.,有効なファイル名を指定してください。
Point Lights,ポイントライト
post process layer,ポストプロセス層
post process volume,ポストプロセスボリューム
PostProcessing,ポストプロセシング
preset,プリセット
Presets,プリセット
progressive,プログレッシブ
Quality Level,品質レベル
Realtime,リアルタイム
Realtime Reflection Probes,リアルタイムリフレクションプローブ
Red,赤
Reflection Probes,リフレクションプローブ
render mode,レンダリングモード
Rendering,レンダリング
rendering path,レンダリングパス
Resolution,解像度
Rotation,回転
rounded,丸みを帯びた
roundness,丸み
Runtime settings,ランタイム設定
Sample Count,サンプル数
saturation,飽和
save,セーブ
Screen Space Reflection,スクリーンスペースリフレクション
Select a light source on the left panel.,左側のパネルで光源を選択してください。
Selected light is disabled.,選択したライトは無効になっています。
Settings,設定
Shadow Distance,影の距離
Shadow Near Plane Offset,影のウニアプレーンオフセット
Shadow Projection,影の投影
Shadow Resolution,影の解像度
Shadow Type,タイプ
Shadowmask Mode,影のウマスクモード
Shadows,影
Sharpness,鮮明
Show Advanced Settings,詳細設定を表示する
Shutter Angle,シャッター角度
size,サイズ
Skybox,スカイボックス
Skybox Material,スカイボックス素材
Skybox Tint,スカイボックス色彩
SMAA Quality,SMAA品質
small,小さい
smoothness,滑らかさ
softknee,ソフトニー
Source,光源
specular highlight,スペキュラハイライト
speed from dark to light,暗い場所から明るい場所への速度
speed from light to dark,明るい場所から暗い場所への速度
Spot Lights,スポットライト
Stationary Blending,ブレンド静止係数
Strength,強度
Sun Source,太陽源
Temperature,温度
thickness,厚薄
Thickness Modifier,厚薄
threshold,しきい値
Time Slicing Mode,時間スライスモード
Tint,色彩
Tone,トーン
Trilight,トリライト
Type,種類
upper bound,上界
Ultra,ウルトラ
Use Alloy Light,Alloyライト
User Lut,ユーザー LUT
value,値
vertical rotation,垂直回転
veryhigh,非常に高
verylarge,非常に大きい
Vignette,ビネット
Weight,ウエート
White Balance,ホワイトバランス
Window Height,ウィンドウの高さ
Window Width,ウィンドウ幅　
